"Phecode","Number of Schizophrenia Patients","Number of Non-Schizophrenic Participants","Odds Ratio","P-Value","CI Lower Bound","CI Upper Bound","PheWAS Description"
"008",12,15,0.799742562501456,0.700890272578174,0.341626786523398,1.83126950337513,"Intestinal infection"
"008.5",2,2,1,1,0.0724921251481829,13.794601799242,"Bacterial enteritis"
"008.51",0,0,0,1,0,Inf,"Intestinal e.coli"
"008.52",6,0,Inf,0.0312237600772824,1.17781490471159,Inf,"Intestinal infection due to C. difficile"
"008.6",6,5,1.20012058097284,1,0.305012774957687,4.97292865368564,"Viral Enteritis"
"008.7",0,0,0,1,0,Inf,"Intestinal protozoal diseases"
"010",2,2,1,1,0.0724921251481829,13.794601799242,"Tuberculosis"
"031",0,0,0,1,0,Inf,"Diseases due to mycobacteria"
"031.1",0,0,0,1,0,Inf,"Leprosy"
"038",25,7,3.57809246902101,0.00208380580441648,1.50359046712125,9.80521261695654,"Septicemia"
"038.1",5,1,5.00167548478987,0.218671262598149,0.559564807755937,236.359703704912,"Gram negative septicemia"
"038.2",9,0,Inf,0.00389838132878722,1.97500106359495,Inf,"Gram positive septicemia"
"038.3",20,2,10.0182702077015,0.000120071583954303,2.43287890209832,88.4950353980665,"Bacteremia"
"041",16,8,2.0017085065516,0.151314673461514,0.80780811320678,5.4054298384252,"Bacterial infection NOS"
"041.1",6,1,6.0027499109221,0.124926515873724,0.728063620405387,275.822730506161,"Staphylococcus infections"
"041.11",4,3,1.33345692020959,1,0.225520442147944,9.10402905455009,"Methicillin sensitive Staphylococcus aureus"
"041.12",13,4,3.25337953948472,0.0489360455970759,1.00448768657141,13.697774119375,"Methicillin resistant Staphylococcus aureus"
"041.2",7,5,1.40028169687882,0.774338250157202,0.382403952710978,5.59686310774272,"Streptococcus infection"
"041.21",1,0,Inf,1,0.0256406640625,Inf,"Rheumatic fever / chorea"
"041.4",1,0,Inf,1,0.0256406640625,Inf,"E. coli"
"041.8",2,0,Inf,0.499972006046694,0.187811911160223,Inf,"H. pylori"
"041.9",5,0,Inf,0.0624650104974269,0.91655233335811,Inf,"Drug-resistant infection"
"053",3,2,1.50012652978023,1,0.171799457640931,17.9582415304969,"Herpes zoster"
"053.1",0,1,0,1,0,39.0005499686929,"Herpes zoster with nervous system complications"
"054",13,7,1.85831845538962,0.262906808499968,0.688708000055481,5.50351726074957,"Herpes simplex"
"070",13,1,13.0197625651091,0.00182422143341308,1.95426933424471,551.919295081846,"Viral hepatitis"
"070.1",0,0,0,1,0,Inf,"Viral hepatitis A"
"070.2",3,1,3.00068628878501,0.62495800554317,0.24087508539211,157.418803539631,"Viral hepatitis B"
"070.3",21,2,10.5194573030848,6.54059777172077e-05,2.5705574562801,92.6032517058608,"Viral hepatitis C"
"070.4",3,1,3.00068628878501,0.62495800554317,0.24087508539211,157.418803539631,"Chronic hepatitis"
"070.9",1,1,1,1,0.0127452857363115,78.4603829752504,"Hepatitis NOS"
"071",8,3,2.66817069605242,0.226418131931026,0.640115551352208,15.6198237302614,"Human immunodeficiency virus"
"071.1",21,10,2.10249775565562,0.0705127591183913,0.947034893332904,5.00340036447846,"HIV infection, symptomatic"
"078",190,212,0.893976750191589,0.289418244548396,0.729399577590697,1.09509485794072,"Viral warts & HPV"
"079",77,72,1.07007707070056,0.74222750822651,0.764726772673274,1.49874792642874,"Viral infection"
"079.1",2,1,2.00013802306701,1,0.104102045878661,117.94146034846,"Varicella infection"
"079.2",24,18,1.33420561501681,0.440258025043635,0.693706067277542,2.61112971174546,"Infectious mononucleosis"
"079.9",0,2,0,0.499972006046694,0,5.32447592819017,"Viremia, NOS"
"080",5,3,1.6669832082521,0.7265012477942,0.324231140870508,10.7398822879194,"Postoperative infection"
"081",5,2,2.50085976408089,0.453033129409212,0.409274367470498,26.2779199753436,"Infection/inflammation of internal prosthetic device, implant or graft"
"081.1",0,0,0,1,0,Inf,"Graft-versus-host disease"
"081.11",0,0,0,1,0,Inf,"Acute graft-versus-host disease"
"081.12",0,0,0,1,0,Inf,"Chronic graft-versus-host disease"
"090",9,6,1.50046283120562,0.607084762769163,0.476739865822696,5.12512300266778,"Sexually transmitted infections"
"090.2",4,0,Inf,0.124958010245665,0.660212440948993,Inf,"Gonococcal infections"
"090.3",0,1,0,1,0,39.0005499686929,"Venereal diseases due to Chlamydia trachomatis"
"1000",36,22,1.6388845953232,0.0864378429804847,0.937503759661196,2.92702044023263,"Burns"
"1001",29,11,2.64169886634206,0.00636868222473818,1.2800793474483,5.86427624593922,"Foreign body injury"
"1002",97,19,5.14973995854786,7.2792365046318e-14,3.12375949557126,8.92848481636786,"Symptoms concerning nutrition, metabolism, and development"
"1003",0,0,0,1,0,Inf,"Sudden death"
"1004",30,2,15.0485886050764,2.41144144876719e-07,3.81530368119813,130.203856643356,"Symptoms involving emotional state"
"1005",38,5,7.6274669235254,2.42593737193542e-07,2.99566189562886,24.839195672082,"Other symptoms"
"1006",7,4,1.75052391042117,0.548701781711428,0.444839818429599,8.15765852533925,"Crushing injury"
"1007",9,4,2.25130181820318,0.26666973975976,0.628014456132322,10.0082874111389,"Injury to blood vessels"
"1008",60,11,5.48407422937163,2.46351318620192e-09,2.85441050211459,11.5775061812121,"Internal injury to organs"
"1009",548,254,2.23305912288475,9.76528379086701e-27,1.91482246176235,2.60977080828761,"Injury, NOS"
"1010",2049,1710,1.25724761848297,5.3819423088256e-10,1.16892371178598,1.35234893494147,"Other tests"
"1010.1",0,0,0,1,0,Inf,"nan"
"1011",11,5,2.20137667552688,0.209908234803644,0.704782305982926,8.08527175532503,"Complications of medical procedures NOS"
"1012",1,0,Inf,1,0.0256406640625,Inf,"Late effect"
"1013",13,6,2.16826699741108,0.166842434857002,0.768511060064334,6.96116474835503,"Asphyxia and hypoxemia"
"1014",5,5,1,1,0.230057171281742,4.34674561296478,"Effects of heat, cold & air pressure"
"1015",20,5,4.0061800350158,0.00405253679409747,1.45828068153707,13.6678420369897,"Effects of other external causes"
"1019",1918,1843,1.05184736658146,0.174438357225321,0.978149377461781,1.13103362721075,"Other causes of morbidity & mortality"
"110",0,0,0,1,0,Inf,"Dermatophytosis / Dermatomycosis"
"110.1",1,8,0.124913907019305,0.0390152694635612,0.00281901706938701,0.932007331529051,"Dermatophytosis"
"110.11",21,9,2.33650596004713,0.042601702818862,1.0250865950114,5.7977689678084,"Dermatophytosis of nail"
"110.12",12,6,2.00125929392324,0.237646551039369,0.694775531837591,6.50210105359923,"Althete's foot"
"110.13",13,5,2.60234353497239,0.0960859180804727,0.870134380849818,9.32845679310054,"Dermatophytosis of the body"
"110.2",16,11,1.45532393168389,0.441719971629147,0.633876672509943,3.47040347176049,"Dermatomycoses"
"1100",0,1,0,1,0,39.0005499686929,"x"
"112",9,3,3.00202931088721,0.145860760057173,0.748823775273133,17.2431786833335,"Candidiasis"
"112.3",2,0,Inf,0.499972006046694,0.187811911160223,Inf,"Candidiasis of skin and nails"
"117",4,2,2.00036207628427,0.68744750251955,0.286603461486599,22.11871117581,"Mycoses"
"117.1",0,0,0,1,0,Inf,"Histoplasmosis"
"117.2",0,0,0,1,0,Inf,"Coccidioidomycosis"
"117.3",0,0,0,1,0,Inf,"Blastomycotic infection"
"117.4",3,0,Inf,0.249958009070041,0.413256128693153,Inf,"Aspergillosis"
"130",0,0,0,1,0,Inf,"Spirochetal infection"
"130.1",30,4,7.52118284412484,6.05237253312041e-06,2.6488411465907,29.4088203085384,"Lyme disease"
"131",0,0,0,1,0,Inf,"Protozoan infection"
"132",9,3,3.00202931088721,0.145860760057173,0.748823775273133,17.2431786833335,"Infestation"
"132.1",0,0,0,1,0,Inf,"Pediculosis & phthirus infestation"
"133",5,1,5.00167548478987,0.218671262598149,0.559564807755937,236.359703704912,"Arthropod-borne diseases"
"134",0,0,0,1,0,Inf,"Helminthiases"
"134.1",0,0,0,1,0,Inf,"Intestinal helminthiases"
"136",7,0,Inf,0.0156066341112089,1.4418856760402,Inf,"Other infectious diseases"
"145",0,0,0,1,0,Inf,"Cancer of mouth"
"145.1",0,0,0,1,0,Inf,"Cancer of lip"
"145.2",0,0,0,1,0,Inf,"Cancer of tongue"
"145.3",1,0,Inf,1,0.0256406640625,Inf,"Cancer of major salivary glands"
"145.4",0,0,0,1,0,Inf,"Cancer of the gums"
"145.5",0,0,0,1,0,Inf,"Cancer of the mouth floor"
"149",0,0,0,1,0,Inf,"Cancer of the upper aerodigestive tract"
"149.1",0,0,0,1,0,Inf,"Cancer of oropharynx"
"149.2",0,0,0,1,0,Inf,"Cancer of nasopharynx"
"149.3",0,0,0,1,0,Inf,"Cancer of hypopharynx"
"149.4",0,0,0,1,0,Inf,"Cancer of larynx"
"149.5",0,0,0,1,0,Inf,"Hx of malignant neoplasm of oral cavity and pharynx"
"149.9",0,0,0,1,0,Inf,"Cancer of of nasal cavities"
"150",1,0,Inf,1,0.0256406640625,Inf,"Esophageal cancer"
"151",0,0,0,1,0,Inf,"Stomach cancer"
"153",0,0,0,1,0,Inf,"Colorectal cancer"
"153.2",2,0,Inf,0.499972006046694,0.187811911160223,Inf,"Colon cancer"
"153.3",2,0,Inf,0.499972006046694,0.187811911160223,Inf,"Cancer of the lower GI tract"
"155",0,0,0,1,0,Inf,"Hepatic cancer"
"155.1",0,0,0,1,0,Inf,"Hepatic cancer, primary"
"157",0,0,0,1,0,Inf,"Pancreatic cancer"
"158",1,0,Inf,1,0.0256406640625,Inf,"Neoplasm of unspecified nature of digestive system"
"159",0,1,0,1,0,39.0005499686929,"Cancer of the digestive organs and peritoneum"
"159.2",0,0,0,1,0,Inf,"Malignant neoplasm of small intestine"
"159.3",0,0,0,1,0,Inf,"Malignant neoplasm of gallbladder & extrahepatic bile ducts"
