"Phecode","Number of Schizophrenia Patients","Number of Non-Schizophrenic Participants","Hazard Ratio","P-Value","CI Lower Bound","CI Upper Bound","PheWAS Description"
"008",8,0,226465772.350081,0.997065003158542,0,Inf,"Intestinal infection"
"008.5",3,0,218176777.215518,0.998205344806718,0,Inf,"Bacterial enteritis"
"008.51",0,0,NA,NA,NA,NA,"Intestinal e.coli"
"008.52",93,6,15.6296825505053,6.72372258275025e-11,6.84553397581335,35.6855984489575,"Intestinal infection due to C. difficile"
"008.6",2,1,2.33976974848201,0.488208191433177,0.211499628874954,25.8843124455234,"Viral Enteritis"
"008.7",0,0,NA,NA,NA,NA,"Intestinal protozoal diseases"
"010",4,1,4.03900322235917,0.21182512724621,0.451397622633685,36.1400818529929,"Tuberculosis"
"031",1,0,221469628.198845,0.998963153510113,0,Inf,"Diseases due to mycobacteria"
"031.1",0,0,NA,NA,NA,NA,"Leprosy"
"038",372,15,25.8158229977354,5.29402335841675e-35,15.4062126124671,43.2589588249022,"Septicemia"
"038.1",42,3,14.3574051217668,8.27786709001232e-06,4.44991165050276,46.3234099956224,"Gram negative septicemia"
"038.2",58,0,222079410.030292,0.992103166701974,0,Inf,"Gram positive septicemia"
"038.3",142,7,20.7063668064749,5.0062908289273e-15,9.69453808432395,44.2263079060547,"Bacteremia"
"041",83,11,7.86670340517733,1.30768678812394e-10,4.19356073511124,14.7571542119056,"Bacterial infection NOS"
"041.1",15,0,227498186.918785,0.995980292434074,0,Inf,"Staphylococcus infections"
"041.11",28,6,4.930343524677,0.000393638579893037,2.04044111629648,11.9132510500697,"Methicillin sensitive Staphylococcus aureus"
"041.12",64,2,32.8520917848396,1.15654281902993e-06,8.041297901809,134.214643931638,"Methicillin resistant Staphylococcus aureus"
"041.2",28,0,221281220.130957,0.994513746532036,0,Inf,"Streptococcus infection"
"041.21",1,0,218630744.072247,0.998963748895163,0,Inf,"Rheumatic fever / chorea"
"041.4",13,2,6.73283298810966,0.012063646859401,1.51901085173651,29.8424728131177,"E. coli"
"041.8",0,2,4.60766763823763e-09,0.998535089032265,0,Inf,"H. pylori"
"041.9",13,0,219482510.494153,0.996263337198673,0,Inf,"Drug-resistant infection"
"053",21,3,7.18283910112303,0.00140616239154285,2.14159654512322,24.0909884124105,"Herpes zoster"
"053.1",23,6,3.89406526467262,0.00302418995975752,1.58548560683009,9.56410087875042,"Herpes zoster with nervous system complications"
