Phecode,Number of Schizophrenia Patients,Number of Non-Schizophrenic Participants,Hazard Ratio,P-Value,CI Lower Bound,CI Upper Bound,PheWAS Description
8,1,0,218630744.304181,0.998963796192186,0,Inf,Intestinal infection
8.5,0,1,4.52906109055901E-09,0.998963291335534,0,Inf,Bacterial enteritis
8.51,0,0,NA,NA,NA,NA,Intestinal e.coli
8.52,4,0,216713992.07539,0.997928597803127,0,Inf,Intestinal infection due to C. difficile
8.6,0,0,NA,NA,NA,NA,Viral Enteritis
8.7,0,0,NA,NA,NA,NA,Intestinal protozoal diseases
10,0,0,NA,NA,NA,NA,Tuberculosis
31,0,0,NA,NA,NA,NA,Diseases due to mycobacteria
31.1,0,0,NA,NA,NA,NA,Leprosy
38,9,0,216996043.652877,0.996892572142696,0,Inf,Septicemia
38.1,0,0,NA,NA,NA,NA,Gram negative septicemia
38.2,5,0,215227864.42848,0.997685048306048,0,Inf,Gram positive septicemia
38.3,8,0,215251087.777114,0.997071746039754,0,Inf,Bacteremia
41,11,1,10.8506930480873,0.0224477306435469,1.40087259506286,84.0458583020016,Bacterial infection NOS
41.1,4,0,214470671.210671,0.997929888649511,0,Inf,Staphylococcus infections
41.11,1,1,0.985997632314808,0.992044473481753,0.0616695079378344,15.7645384800284,Methicillin sensitive Staphylococcus aureus
41.12,6,0,212670074.181125,0.997465812890248,0,Inf,Methicillin resistant Staphylococcus aureus
41.2,4,0,211862870.245403,0.997931366272562,0,Inf,Streptococcus infection
41.21,1,0,218630743.853661,0.998963798178973,0,Inf,Rheumatic fever / chorea
41.4,2,0,218161019.732196,0.998534679714189,0,Inf,E. coli
41.8,0,0,NA,NA,NA,NA,H. pylori
41.9,0,0,NA,NA,NA,NA,Drug-resistant infection
53,0,0,NA,NA,NA,NA,Herpes zoster
53.1,0,0,NA,NA,NA,NA,Herpes zoster with nervous system complications
54,15,9,1.63125070656225,0.245816987601848,0.713866190000331,3.7275597372928,Herpes simplex
70,4,0,215354508.186489,0.997929263432215,0,Inf,Viral hepatitis
70.1,0,0,NA,NA,NA,NA,Viral hepatitis A
70.2,4,0,217444062.716263,0.997928253674536,0,Inf,Viral hepatitis B
70.3,29,0,216431111.727882,0.994422825945983,0,Inf,Viral hepatitis C
70.4,3,0,215340598.348066,0.998206734046027,0,Inf,Chronic hepatitis
70.9,0,0,NA,NA,NA,NA,Hepatitis NOS
71,8,1,7.83948206505142,0.0522102371391409,0.980498463115097,62.679832106018,Human immunodeficiency virus
71.1,21,5,4.15894871165245,0.0041809346143795,1.56823647505242,11.0294937411001,"HIV infection, symptomatic"
78,29,38,0.745191522887374,0.232953924023449,0.459600564804238,1.20824569921869,Viral warts & HPV
79,10,6,1.61601963030444,0.352771002055434,0.587195608241306,4.44744376299234,Viral infection
79.1,0,0,NA,NA,NA,NA,Varicella infection
79.2,2,2,0.986461946718192,0.989124961269936,0.138951152208727,7.00323212045974,Infectious mononucleosis
79.9,1,0,212420535.036755,0.998965545903548,0,Inf,"Viremia, NOS"
80,2,0,216178781.997114,0.998535505861995,0,Inf,Postoperative infection
81,4,0,214008256.79219,0.997930087840571,0,Inf,"Infection/inflammation of internal prosthetic device, implant or graft"
81.1,0,0,NA,NA,NA,NA,Graft-versus-host disease
81.11,0,0,NA,NA,NA,NA,Acute graft-versus-host disease
81.12,0,0,NA,NA,NA,NA,Chronic graft-versus-host disease
90,5,1,4.90153060183542,0.146775961115295,0.57261524316558,41.9566236272581,Sexually transmitted infections
90.2,0,0,NA,NA,NA,NA,Gonococcal infections
90.3,0,0,NA,NA,NA,NA,Venereal diseases due to Chlamydia trachomatis
1000,7,0,215433208.887798,0.997260754955753,0,Inf,Burns
1001,11,2,5.445282652316,0.0274779343201484,1.20695559437251,24.5668550706119,Foreign body injury
1002,27,1,26.6201481688088,0.00127064705753781,3.61732520874264,195.899524548319,"Symptoms concerning nutrition, metabolism, and development"
1003,0,0,NA,NA,NA,NA,Sudden death
1004,6,3,1.97345319728516,0.336376925232354,0.493547164021446,7.89087204988135,Symptoms involving emotional state
1005,16,0,216786995.989487,0.995857009798229,0,Inf,Other symptoms
1006,0,0,NA,NA,NA,NA,Crushing injury
1007,0,0,NA,NA,NA,NA,Injury to blood vessels
1008,6,0,218289688.965633,0.997462046270655,0,Inf,Internal injury to organs
1009,181,31,5.81170631669536,1.38114190034044E-19,3.970515520331,8.506686383309,"Injury, NOS"
1010,1119,734,1.60184321099608,3.56006449541167E-23,1.45939876441532,1.75819093121009,Other tests
1010.1,0,0,NA,NA,NA,NA,nan
1011,3,1,2.93351716016521,0.351329666810268,0.305140876426001,28.2018031467203,Complications of medical procedures NOS
1012,0,0,NA,NA,NA,NA,Late effect
1013,9,1,8.9282799265334,0.0378139107132188,1.13114067239354,70.4723863194319,Asphyxia and hypoxemia
1014,2,0,218318879.86049,0.998534659753569,0,Inf,"Effects of heat, cold & air pressure"
1015,52,2,25.7412840551736,6.55564199163541E-06,6.27008408628923,105.678599471747,Effects of other external causes
1019,1081,840,1.28824176160157,3.65895003386371E-08,1.1771879009035,1.40977225051378,Other causes of morbidity & mortality
110,0,0,NA,NA,NA,NA,Dermatophytosis / Dermatomycosis
110.1,0,0,NA,NA,NA,NA,Dermatophytosis
110.11,10,4,2.42842479712205,0.133752322354187,0.761490195956694,7.7443505203219,Dermatophytosis of nail
110.12,3,0,218052073.420649,0.998205494255229,0,Inf,Althete's foot
110.13,1,1,0.967758298454649,0.981511517870119,0.0605321547456924,15.472043381943,Dermatophytosis of the body
110.2,2,3,0.649886364308191,0.636867451231669,0.108589552476452,3.88943758291394,Dermatomycoses
1100,0,0,NA,NA,NA,NA,x
112,12,5,2.34420123525527,0.109489937072816,0.825844387686436,6.65413425738363,Candidiasis
112.3,1,0,212626544.537485,0.998965462878877,0,Inf,Candidiasis of skin and nails
117,1,1,0.991089880451841,0.994950558131348,0.0619897980720631,15.8454968669549,Mycoses
117.1,0,0,NA,NA,NA,NA,Histoplasmosis
117.2,0,0,NA,NA,NA,NA,Coccidioidomycosis
117.3,0,0,NA,NA,NA,NA,Blastomycotic infection
117.4,2,0,217025594.800135,0.998535132154085,0,Inf,Aspergillosis
130,0,0,NA,NA,NA,NA,Spirochetal infection
130.1,16,2,7.91723202089538,0.00580304183815906,1.82040849980996,34.4332400553144,Lyme disease
