Phecode,Number of Patients with Schizoaffective Disorder,Number of Patients with Other Schizophrenia,Hazard Ratio,P-Value,CI Lower Bound,CI Upper Bound,PheWAS Description
8,1,2,0.567214568377379,0.644624531822184,0.0509733409632185,6.31177710740391,Intestinal infection
8.5,0,0,NA,NA,NA,NA,Bacterial enteritis
8.51,0,0,NA,NA,NA,NA,Intestinal e.coli
8.52,3,3,0.999778504094473,0.999783529124084,0.201790455472132,4.95344071111144,Intestinal infection due to C. difficile
8.6,0,1,4.57392213121915E-09,0.998963794205654,0,Inf,Viral Enteritis
8.7,0,0,NA,NA,NA,NA,Intestinal protozoal diseases
10,0,0,NA,NA,NA,NA,Tuberculosis
31,0,1,4.74088445235618E-09,0.998965994984377,0,Inf,Diseases due to mycobacteria
31.1,0,0,NA,NA,NA,NA,Leprosy
38,20,21,1.02774506163202,0.930523550120206,0.555519097851914,1.90139261781161,Septicemia
38.1,0,3,4.57241249405185E-09,0.998205167719855,0,Inf,Gram negative septicemia
38.2,1,3,0.342529443754206,0.353583932724526,0.0356127688264357,3.29450429452352,Gram positive septicemia
38.3,2,9,0.230450020777632,0.0605211902306167,0.0497704062890295,1.06704397323991,Bacteremia
41,6,6,1.20572925925984,0.752059159480313,0.37773354080052,3.84869991569804,Bacterial infection NOS
41.1,1,0,217976951.377205,0.998963942948946,0,Inf,Staphylococcus infections
41.11,0,0,NA,NA,NA,NA,Methicillin sensitive Staphylococcus aureus
41.12,3,2,1.5246488233138,0.644106947165391,0.254706421556353,9.12640529527391,Methicillin resistant Staphylococcus aureus
41.2,0,4,4.65123196426664E-09,0.997929647655883,0,Inf,Streptococcus infection
41.21,0,0,NA,NA,NA,NA,Rheumatic fever / chorea
41.4,2,1,2.03277727112707,0.562457818455245,0.184302115575328,22.4207053788372,E. coli
41.8,0,1,NA,NA,NA,NA,H. pylori
41.9,0,1,4.76446425322137E-09,0.998966341101652,0,Inf,Drug-resistant infection
53,0,1,4.88305472010089E-09,0.998968230086567,0,Inf,Herpes zoster
53.1,1,0,221684384.543244,0.998963070433254,0,Inf,Herpes zoster with nervous system complications
54,3,4,0.836870221716195,0.816144780125404,0.186503679425918,3.75516327694492,Herpes simplex
70,1,4,0.26976840481035,0.241645901837312,0.0300964816335355,2.41805647318024,Viral hepatitis
70.1,0,0,NA,NA,NA,NA,Viral hepatitis A
