"Phecode","No. Cases with P","No. Controls with P","Hazard Ratio","P-Value","CI Lower Bound","CI Upper Bound","PheWAS Description"
"008",35,0,226010291.132191,0.99386176441259,0,Inf,"Intestinal infection"
"008.5",7,1,7.09167094677588,0.0669042876694513,0.872434774185339,57.6453372853077,"Bacterial enteritis"
"008.51",0,0,NA,NA,NA,NA,"Intestinal e.coli"
"008.52",230,16,14.4767942228532,4.81700723149737e-25,8.72149681195662,24.0300002957657,"Intestinal infection due to C. difficile"
"008.6",5,1,5.42007491857973,0.123052942957945,0.632553054968126,46.4422895317411,"Viral Enteritis"
"008.7",0,0,NA,NA,NA,NA,"Intestinal protozoal diseases"
"010",7,1,7.05166074728603,0.0676869479094337,0.867573312854151,57.3161006200453,"Tuberculosis"
"031",6,4,1.51952378554435,0.51690741129166,0.42875594342745,5.38523738324749,"Diseases due to mycobacteria"
"031.1",0,0,NA,NA,NA,NA,"Leprosy"
"038",731,25,30.3586530528908,3.45375343775489e-63,20.3770022087055,45.229803959684,"Septicemia"
"038.1",90,5,18.513248123887,2.13514508294507e-10,7.52222616363901,45.5636866853787,"Gram negative septicemia"
"038.2",89,1,90.5271938076649,7.4468026753632e-06,12.6124563984649,649.768178361192,"Gram positive septicemia"
"038.3",256,10,26.0141597777419,5.04463849451838e-24,13.8299917749445,48.9325315556525,"Bacteremia"
"041",192,16,12.3492134686739,4.50457111696103e-22,7.41527495187555,20.5660712899533,"Bacterial infection NOS"
"041.1",28,0,222338928.516801,0.994512300419579,0,Inf,"Staphylococcus infections"
"041.11",43,7,6.32834226241597,6.01563232390552e-06,2.84631267538005,14.0701041514818,"Methicillin sensitive Staphylococcus aureus"
"041.12",132,5,26.9794083294245,4.75670593189617e-13,11.0460864218325,65.8955983149975,"Methicillin resistant Staphylococcus aureus"
"041.2",52,2,26.3098963646538,5.68182507733086e-06,6.4084806161009,108.014783563469,"Streptococcus infection"
"041.21",1,0,218630743.986755,0.998963855547001,0,Inf,"Rheumatic fever / chorea"
"041.4",75,2,38.7543771282692,3.31970747321368e-07,9.51559966643367,157.835743331877,"E. coli"
"041.8",5,4,1.32854141080565,0.672633198943046,0.355706585539704,4.96201743790443,"H. pylori"
"041.9",28,0,220134146.912784,0.994515602823204,0,Inf,"Drug-resistant infection"
"053",65,11,6.02798141993381,3.60775688938768e-08,3.1813307826802,11.4218113365925,"Herpes zoster"
"053.1",54,23,2.37427664642237,0.000515698585675548,1.45737136731231,3.86805293433394,"Herpes zoster with nervous system complications"
"054",52,25,2.16852825871636,0.00147846119062881,1.3455495544016,3.49486556884388,"Herpes simplex"
"070",56,17,3.32025217095853,1.46750349341093e-05,1.92954694216431,5.71329685630216,"Viral hepatitis"
