"","Phecode","No. Schizoaffective Patients with P","No. Schizophrenia Patients with P","Hazard Ratio","P-Value","CI Lower Bound","CI Upper Bound","PheWAS Description"
"1","008",1,2,0.567214568377379,0.644624531822184,0.0509733409632185,6.31177710740391,"Intestinal infection"
"2","008.5",0,0,NA,NA,NA,NA,"Bacterial enteritis"
"3","008.51",0,0,NA,NA,NA,NA,"Intestinal e.coli"
"4","008.52",3,3,0.999778504094473,0.999783529124084,0.201790455472132,4.95344071111144,"Intestinal infection due to C. difficile"
"5","008.6",0,1,4.57392213121915e-09,0.998963794205654,0,Inf,"Viral Enteritis"
"6","008.7",0,0,NA,NA,NA,NA,"Intestinal protozoal diseases"
"7","010",0,0,NA,NA,NA,NA,"Tuberculosis"
"8","031",0,1,4.74088445235618e-09,0.998965994984377,0,Inf,"Diseases due to mycobacteria"
"9","031.1",0,0,NA,NA,NA,NA,"Leprosy"
"10","038",20,21,1.02774506163202,0.930523550120206,0.555519097851914,1.90139261781161,"Septicemia"
"11","038.1",0,3,4.57241249405185e-09,0.998205167719855,0,Inf,"Gram negative septicemia"
"12","038.2",1,3,0.342529443754206,0.353583932724526,0.0356127688264357,3.29450429452352,"Gram positive septicemia"
"13","038.3",2,9,0.230450020777632,0.0605211902306167,0.0497704062890295,1.06704397323991,"Bacteremia"
"14","041",6,6,1.20572925925984,0.752059159480313,0.37773354080052,3.84869991569804,"Bacterial infection NOS"
"15","041.1",1,0,217976951.377205,0.998963942948946,0,Inf,"Staphylococcus infections"
"16","041.11",0,0,NA,NA,NA,NA,"Methicillin sensitive Staphylococcus aureus"
"17","041.12",3,2,1.5246488233138,0.644106947165391,0.254706421556353,9.12640529527391,"Methicillin resistant Staphylococcus aureus"
"18","041.2",0,4,4.65123196426664e-09,0.997929647655883,0,Inf,"Streptococcus infection"
"19","041.21",0,0,NA,NA,NA,NA,"Rheumatic fever / chorea"
"20","041.4",2,1,2.03277727112707,0.562457818455245,0.184302115575328,22.4207053788372,"E. coli"
"21","041.8",0,1,NA,NA,NA,NA,"H. pylori"
"22","041.9",0,1,4.76446425322137e-09,0.998966341101652,0,Inf,"Drug-resistant infection"
"23","053",0,1,4.88305472010089e-09,0.998968230086567,0,Inf,"Herpes zoster"
"24","053.1",1,0,221684384.543244,0.998963070433254,0,Inf,"Herpes zoster with nervous system complications"
"25","054",3,4,0.836870221716195,0.816144780125404,0.186503679425918,3.75516327694492,"Herpes simplex"
"26","070",1,4,0.26976840481035,0.241645901837312,0.0300964816335355,2.41805647318024,"Viral hepatitis"
"27","070.1",0,0,NA,NA,NA,NA,"Viral hepatitis A"
"28","070.2",1,0,218559375.03668,0.998963800242079,0,Inf,"Viral hepatitis B"
"29","070.3",19,15,1.31050322491927,0.434050871303404,0.665582974288566,2.58032246747228,"Viral hepatitis C"
"30","070.4",0,0,NA,NA,NA,NA,"Chronic hepatitis"
"31","070.9",0,0,NA,NA,NA,NA,"Hepatitis NOS"
"32","071",1,5,0.217388700235826,0.163821717582113,0.0253674129312858,1.8629352200097,"Human immunodeficiency virus"
"33","071.1",9,15,0.606509602635796,0.235693650842956,0.265401975233072,1.38602547236654,"HIV infection, symptomatic"
"34","078",2,12,0.18236077603269,0.0260264614870345,0.0407509373095357,0.816065956536002,"Viral warts & HPV"
"35","079",0,5,1.72246934699175e-09,0.998523518920246,0,Inf,"Viral infection"
"36","079.1",0,0,NA,NA,NA,NA,"Varicella infection"
"37","079.2",0,0,NA,NA,NA,NA,"Infectious mononucleosis"
"38","079.9",1,0,648835755.028589,0.99933689544368,0,Inf,"Viremia, NOS"
"39","080",4,4,1.01374965538604,0.984592975089042,0.253510227152856,4.05383394325809,"Postoperative infection"
"40","081",1,4,0.249884048075908,0.214844383377139,0.0279296989294879,2.23568602155167,"Infection/inflammation of internal prosthetic device, implant or graft"
"41","081.1",0,0,NA,NA,NA,NA,"Graft-versus-host disease"
"42","081.11",0,0,NA,NA,NA,NA,"Acute graft-versus-host disease"
"43","081.12",0,0,NA,NA,NA,NA,"Chronic graft-versus-host disease"
"44","090",1,3,0.335917456115702,0.344800186830737,0.0349408958847338,3.2294689207596,"Sexually transmitted infections"
"45","090.2",0,0,NA,NA,NA,NA,"Gonococcal infections"
"46","090.3",0,0,NA,NA,NA,NA,"Venereal diseases due to Chlamydia trachomatis"
"47","1000",1,4,0.253733405550048,0.219975966038079,0.028355433856804,2.27048689916543,"Burns"
"48","1001",1,3,0.347690480727293,0.360486334046009,0.0361249762820034,3.34640137739274,"Foreign body injury"
"49","1002",12,21,0.693924578081062,0.320807669204756,0.337313932024608,1.42754649111218,"Symptoms concerning nutrition, metabolism, and development"
"50","1003",0,0,NA,NA,NA,NA,"Sudden death"
"51","1004",3,2,1.50928125047459,0.652048450393955,0.2521893219743,9.03261833292963,"Symptoms involving emotional state"
"52","1005",11,13,0.902041535763425,0.801782400140125,0.403333802047952,2.01738343801321,"Other symptoms"
"53","1006",0,0,NA,NA,NA,NA,"Crushing injury"
"54","1007",0,0,NA,NA,NA,NA,"Injury to blood vessels"
"55","1008",0,1,4.57238396125316e-09,0.998963764328493,0,Inf,"Internal injury to organs"
"56","1009",35,62,0.665427551527054,0.0562131236989064,0.4380412941271,1.01084950726771,"Injury, NOS"
"57","1010",479,327,1.95909599188934,2.87661693408401e-20,1.69822236957381,2.26004389896247,"Other tests"
"58","1010.1",0,0,NA,NA,NA,NA,"nan"
"59","1011",9,1,10.1275299082704,0.0288039220566009,1.27068116959754,80.7180152637328,"Complications of medical procedures NOS"
"60","1012",0,0,NA,NA,NA,NA,"Late effect"
"61","1013",7,22,0.34938838409261,0.0157073673238942,0.148855892899029,0.820069938525369,"Asphyxia and hypoxemia"
"62","1014",0,0,NA,NA,NA,NA,"Effects of heat, cold & air pressure"
"63","1015",39,14,3.0509505953967,0.000352656579812743,1.65467690911427,5.62544837864095,"Effects of other external causes"
"64","1019",57,240,0.24165752532221,6.09734369323711e-22,0.180982832801086,0.322673474831941,"Other causes of morbidity & mortality"
"65","110",0,0,NA,NA,NA,NA,"Dermatophytosis / Dermatomycosis"
"66","110.1",0,0,NA,NA,NA,NA,"Dermatophytosis"
"67","110.11",51,34,1.66802675241115,0.022607467690794,1.07445989423135,2.58949939564725,"Dermatophytosis of nail"
"68","110.12",2,0,223425587.774515,0.998533099418841,0,Inf,"Althete's foot"
"69","110.13",0,0,NA,NA,NA,NA,"Dermatophytosis of the body"
"70","110.2",0,0,NA,NA,NA,NA,"Dermatomycoses"
"71","1100",0,0,NA,NA,NA,NA,"x"
"72","112",1,6,0.188998558227143,0.123438117518201,0.022693646055883,1.57402891205658,"Candidiasis"
"73","112.3",0,0,NA,NA,NA,NA,"Candidiasis of skin and nails"
"74","117",0,0,NA,NA,NA,NA,"Mycoses"
"75","117.1",0,0,NA,NA,NA,NA,"Histoplasmosis"
"76","117.2",0,0,NA,NA,NA,NA,"Coccidioidomycosis"
"77","117.3",0,0,NA,NA,NA,NA,"Blastomycotic infection"
"78","117.4",1,1,1.00337155373249,0.99810100847352,0.0627594765788436,16.0414734111873,"Aspergillosis"
"79","130",0,0,NA,NA,NA,NA,"Spirochetal infection"
"80","130.1",0,2,4.56703406844172e-09,0.99853446052845,0,Inf,"Lyme disease"
"81","131",0,0,NA,NA,NA,NA,"Protozoan infection"
"82","132",0,0,NA,NA,NA,NA,"Infestation"
"83","132.1",0,0,NA,NA,NA,NA,"Pediculosis & phthirus infestation"
"84","133",0,0,NA,NA,NA,NA,"Arthropod-borne diseases"
"85","134",0,0,NA,NA,NA,NA,"Helminthiases"
"86","134.1",0,0,NA,NA,NA,NA,"Intestinal helminthiases"
"87","136",1,1,1.08753949381944,0.95271455669491,0.0678953651482821,17.420072018671,"Other infectious diseases"
"88","145",2,0,219372021.201406,0.998534309421656,0,Inf,"Cancer of mouth"
"89","145.1",0,0,NA,NA,NA,NA,"Cancer of lip"
"90","145.2",0,1,4.57392213387222e-09,0.998963794406927,0,Inf,"Cancer of tongue"
"91","145.3",1,0,218701899.101225,0.998963759525107,0,Inf,"Cancer of major salivary glands"
"92","145.4",0,0,NA,NA,NA,NA,"Cancer of the gums"
"93","145.5",0,0,NA,NA,NA,NA,"Cancer of the mouth floor"
"94","149",0,0,NA,NA,NA,NA,"Cancer of the upper aerodigestive tract"
"95","149.1",0,2,4.57243586444156e-09,0.998534527197916,0,Inf,"Cancer of oropharynx"
"96","149.2",0,0,NA,NA,NA,NA,"Cancer of nasopharynx"
"97","149.3",0,0,NA,NA,NA,NA,"Cancer of hypopharynx"
"98","149.4",0,1,4.57392213747814e-09,0.998963794382069,0,Inf,"Cancer of larynx"
"99","149.5",0,0,NA,NA,NA,NA,"Hx of malignant neoplasm of oral cavity and pharynx"
"100","149.9",0,0,NA,NA,NA,NA,"Cancer of of nasal cavities"
"101","150",0,2,5.36997823294963e-09,0.998562460913135,0,Inf,"Esophageal cancer"
"102","151",0,0,NA,NA,NA,NA,"Stomach cancer"
"103","153",0,0,NA,NA,NA,NA,"Colorectal cancer"
"104","153.2",6,7,0.874517533825421,0.809576159118352,0.293859717783101,2.60253743771912,"Colon cancer"
"105","153.3",1,2,0.506536630457022,0.578672606068922,0.0459265516608069,5.58673248298142,"Cancer of the lower GI tract"
"106","155",0,0,NA,NA,NA,NA,"Hepatic cancer"
"107","155.1",0,1,4.57392213798797e-09,0.998963794393116,0,Inf,"Hepatic cancer, primary"
"108","157",0,2,4.57317918208546e-09,0.998534539948986,0,Inf,"Pancreatic cancer"
"109","158",0,3,4.57241697678055e-09,0.998205168123462,0,Inf,"Neoplasm of unspecified nature of digestive system"
"110","159",0,1,6.05629750355332e-09,0.998997609364832,0,Inf,"Cancer of the digestive organs and peritoneum"
"111","159.2",0,0,NA,NA,NA,NA,"Malignant neoplasm of small intestine"
"112","159.3",0,0,NA,NA,NA,NA,"Malignant neoplasm of gallbladder & extrahepatic bile ducts"
"113","159.4",0,0,NA,NA,NA,NA,"Malignant neoplasm of retroperitoneum and peritoneum"
"114","164",0,1,4.57392213848171e-09,0.998963794413377,0,Inf,"Cancer of intrathoracic organs"
"115","165",0,0,NA,NA,NA,NA,"Cancer within the respiratory system"
"116","165.1",1,11,0.0907777856610072,0.0216077208690345,0.0117200250226799,0.703121909174175,"Lung cancer"
"117","170",0,0,NA,NA,NA,NA,"Cancer of bone & connective tissue"
"118","170.1",0,0,NA,NA,NA,NA,"Bone cancer"
"119","170.2",0,0,NA,NA,NA,NA,"Cancer of connective tissue"
"120","172",0,0,NA,NA,NA,NA,"Skin cancer"
"121","172.1",1,2,0.510624343536233,0.583179330500017,0.0462940017512641,5.63220310079781,"Melanoma"
"122","172.11",1,3,0.346146285836828,0.358396128302585,0.0359764082733641,3.33043950046955,"Melanomas of skin"
"123","172.2",1,6,0.196572689242837,0.132500778619199,0.0236078866423521,1.63677599530829,"Non-melanoma skin cancer"
"124","172.21",2,1,2.05035139226251,0.557739715967303,0.18587964169849,22.6164672652635,"Basal cell carcinoma (new)"
"125","172.22",1,2,0.519884854878183,0.593396747708864,0.0471012825092537,5.7382781939878,"Squamous cell carcinoma"
"126","172.3",0,1,4.57543597538237e-09,0.998963788175501,0,Inf,"Carcinoma in situ of skin"
"127","173",4,7,0.747220967670405,0.646518554378107,0.215080246147203,2.59595748344161,"Skin neoplasm of uncertain behavior"
"128","174",0,0,NA,NA,NA,NA,"Breast cancer"
"129","174.1",1,1,1.02685816458786,0.98504894757885,0.0642139156451169,16.4207038238904,"Breast cancer, including in situ"
