"","Phecode","No. Cases with P","No. Controls with P","Hazard Ratio","P-Value","CI Lower Bound","CI Upper Bound","PheWAS Description"
"1","008",6,0,221913123.16891,0.997460074897303,0,Inf,"Intestinal infection"
"2","008.5",1,0,227335977.342957,0.998962006268988,0,Inf,"Bacterial enteritis"
"3","008.51",0,0,NA,NA,NA,NA,"Intestinal e.coli"
"4","008.52",30,1,30.4706828297502,0.000776319201834742,4.15512562201571,223.449925843837,"Intestinal infection due to C. difficile"
"5","008.6",2,0,218637645.434944,0.998534581582544,0,Inf,"Viral Enteritis"
"6","008.7",0,0,NA,NA,NA,NA,"Intestinal protozoal diseases"
"7","010",1,0,218563418.92815,0.998963775489262,0,Inf,"Tuberculosis"
"8","031",3,1,3.07175594711386,0.331170379883349,0.319422091782173,29.5398622743474,"Diseases due to mycobacteria"
"9","031.1",0,0,NA,NA,NA,NA,"Leprosy"
"10","038",143,1,146.463229653769,6.71654808465e-07,20.4903087528444,1046.9084628915,"Septicemia"
"11","038.1",23,0,226042981.311211,0.995023835531519,0,Inf,"Gram negative septicemia"
"12","038.2",20,0,221521801.674168,0.995363216671228,0,Inf,"Gram positive septicemia"
"13","038.3",65,1,66.1007322539738,3.19262300413535e-05,9.17222970062402,476.362558191742,"Bacteremia"
"14","041",37,1,37.9298102997695,0.000333860242297932,5.20396740493752,276.456479725736,"Bacterial infection NOS"
"15","041.1",4,0,222953360.590773,0.997925752038242,0,Inf,"Staphylococcus infections"
"16","041.11",11,1,11.288214436606,0.0203299364689029,1.45690849750707,87.4617626191593,"Methicillin sensitive Staphylococcus aureus"
"17","041.12",31,0,226963349.687555,0.994222237900354,0,Inf,"Methicillin resistant Staphylococcus aureus"
"18","041.2",14,1,14.2264153169314,0.0103177382555172,1.87064792012326,108.192937106243,"Streptococcus infection"
"19","041.21",0,0,NA,NA,NA,NA,"Rheumatic fever / chorea"
"20","041.4",8,0,220828860.755629,0.997067735297476,0,Inf,"E. coli"
"21","041.8",4,1,4.30608955843063,0.192101640150195,0.48008016154668,38.6235649177567,"H. pylori"
"22","041.9",4,0,228136868.37542,0.997924144289286,0,Inf,"Drug-resistant infection"
"23","053",6,2,3.10807519927098,0.165076796602339,0.626836550243764,15.4109256082255,"Herpes zoster"
"24","053.1",2,1,2.00740634394743,0.569377932048088,0.182022915378749,22.138312757685,"Herpes zoster with nervous system complications"
"25","054",25,14,1.86474031840562,0.0620405144567228,0.96911142503181,3.58808736051518,"Herpes simplex"
"26","070",25,3,8.40621883370543,0.000493414938754793,2.53805892679568,27.8419521052485,"Viral hepatitis"
"27","070.1",0,0,NA,NA,NA,NA,"Viral hepatitis A"
"28","070.2",24,17,1.42927043220507,0.259918083915692,0.767813508121229,2.66056007971813,"Viral hepatitis B"
"29","070.3",199,18,11.2511747971477,8.05291460341621e-23,6.94519704053288,18.2268312298682,"Viral hepatitis C"
"30","070.4",5,7,0.719637190895546,0.574204294777314,0.228394254532412,2.26747247902656,"Chronic hepatitis"
"31","070.9",0,0,NA,NA,NA,NA,"Hepatitis NOS"
"32","071",57,8,7.23347960796471,1.59980705285503e-07,3.45111959800888,15.1612326820053,"Human immunodeficiency virus"
"33","071.1",130,28,4.67875668831619,1.30028278032642e-13,3.11018958505316,7.03840185616506,"HIV infection, symptomatic"
"34","078",29,29,1.02852526915358,0.914727855843339,0.614651994180166,1.72107833262372,"Viral warts & HPV"
"35","079",23,4,5.8189949409594,0.00115068733270217,2.0123894123044,16.8261182035027,"Viral infection"
"36","079.1",1,0,218025497.516541,0.998963970220809,0,Inf,"Varicella infection"
"37","079.2",0,0,NA,NA,NA,NA,"Infectious mononucleosis"
"38","079.9",0,0,NA,NA,NA,NA,"Viremia, NOS"
"39","080",29,2,14.9635919797777,0.000215146339449587,3.57014348136525,62.717110980549,"Postoperative infection"
"40","081",39,3,13.0930307974688,1.76371580395915e-05,4.04615386373923,42.3680021167169,"Infection/inflammation of internal prosthetic device, implant or graft"
"41","081.1",0,0,NA,NA,NA,NA,"Graft-versus-host disease"
"42","081.11",0,0,NA,NA,NA,NA,"Acute graft-versus-host disease"
"43","081.12",0,0,NA,NA,NA,NA,"Chronic graft-versus-host disease"
"44","090",15,6,2.51904370761364,0.0558019318718912,0.977370605814014,6.49250260149056,"Sexually transmitted infections"
"45","090.2",0,1,5.08835662056389e-09,0.998972026455585,0,Inf,"Gonococcal infections"
"46","090.3",0,0,NA,NA,NA,NA,"Venereal diseases due to Chlamydia trachomatis"
"47","1000",10,0,221679611.25158,0.996720996900634,0,Inf,"Burns"
"48","1001",17,2,8.84924413370261,0.00354608450579803,2.04380902917381,38.3152831894111,"Foreign body injury"
"49","1002",92,5,19.162065246333,1.27824374102013e-10,7.78965108273194,47.1375085488357,"Symptoms concerning nutrition, metabolism, and development"
"50","1003",0,0,NA,NA,NA,NA,"Sudden death"
"51","1004",6,1,6.06278320932165,0.095224305378086,0.729888156551835,50.3602365832088,"Symptoms involving emotional state"
"52","1005",83,4,21.3726382996242,2.21377676023955e-09,7.83586411100809,58.2947408754637,"Other symptoms"
"53","1006",1,0,221832833.575541,0.998963028277792,0,Inf,"Crushing injury"
"54","1007",5,0,220409451.33023,0.997682093020191,0,Inf,"Injury to blood vessels"
"55","1008",20,0,219076560.277358,0.995365444062489,0,Inf,"Internal injury to organs"
"56","1009",318,18,19.0354239605753,5.18566515096395e-34,11.8383562819461,30.6079118358212,"Injury, NOS"
"57","1010",1510,1288,1.27694159286439,1.22394389830474e-10,1.1853327780761,1.37563042357913,"Other tests"
"58","1010.1",0,4,4.64201037416984e-09,0.997929341102975,0,Inf,"nan"
"59","1011",22,7,3.27120239181535,0.00632928503229983,1.39704342200015,7.6595794516524,"Complications of medical procedures NOS"
"60","1012",1,0,218036300.056396,0.998963957964469,0,Inf,"Late effect"
"61","1013",140,6,23.8028280294614,2.89556834968395e-14,10.5134548942434,53.8904316325493,"Asphyxia and hypoxemia"
"62","1014",2,0,218446488.501231,0.99853464696687,0,Inf,"Effects of heat, cold & air pressure"
"63","1015",84,1,88.8492590127952,8.18690489553671e-06,12.3696093780745,638.192410595877,"Effects of other external causes"
"64","1019",1505,1431,1.08033487649739,0.0364035742944282,1.0049024401343,1.16142960626172,"Other causes of morbidity & mortality"
"65","110",0,0,NA,NA,NA,NA,"Dermatophytosis / Dermatomycosis"
"66","110.1",0,0,NA,NA,NA,NA,"Dermatophytosis"
